Day,Outlook,Temperature,Humidity,Wind,Season,Weekend,Location,Rainfall_mm,UVIndex,CloudCover_pct,AirQuality_AQI,Pressure_hPa,WeatherScore,IdealConditions,PlayTennis,PlayTennis_Num
D024,Sunny,Mild,High,Weak,Spring,1,Public Court,0.1,6.0,11.0,70.0,1024.5,7.7,0,Yes,1
D025,Overcast,Cool,Normal,Weak,Spring,1,Public Court,0.4,4.0,89.0,58.0,1004.5,9.2,0,Yes,1
D026,Rain,Mild,,Weak,Spring,0,Public Court,30.7,,93.0,49.0,,7.8,0,No,0
D027,Overcast,Hot,Normal,Weak,Summer,0,Backyard,3.9,4.0,64.0,70.0,1012.0,6.9,0,Yes,1
D028,Rain,Mild,High,Weak,Summer,1,Public Court,14.5,3.0,89.0,60.0,1003.5,6.1,0,Yes,1
D029,Rain,Mild,Normal,Weak,Summer,0,Park,24.9,1.0,79.0,37.0,1007.0,7.0,0,Yes,1
D030,Rain,Cool,High,Strong,Fall,0,Resort,19.7,0.0,70.0,71.0,1012.0,5.1,0,No,0
D031,Overcast,Mild,High,Weak,Fall,0,Resort,0.4,3.0,79.0,50.0,1008.1,8.8,0,No,0
D032,Sunny,Cool,High,Strong,Fall,0,Club,0.4,3.0,14.0,27.0,1021.2,6.0,0,No,0
D033,Rain,Hot,High,Weak,Winter,0,Park,,1.0,95.0,14.0,1006.8,4.9,0,No,0
D034,Rain,Cool,Normal,Strong,Winter,1,Backyard,39.9,1.0,80.0,40.0,1008.3,5.8,0,No,0
D035,Overcast,Mild,Normal,Strong,Winter,0,Public Court,2.1,0.0,78.0,54.0,1011.6,9.1,0,Yes,1
D036,Rain,Cool,Normal,Strong,Spring,0,Resort,33.9,2.0,73.0,52.0,1002.5,6.1,0,No,0
D037,Sunny,Mild,Normal,Weak,Spring,0,Backyard,0.9,9.0,21.0,43.0,1015.8,8.9,0,Yes,1
D038,Rain,Cool,Normal,Weak,Spring,0,Club,3.7,2.0,66.0,39.0,1001.7,7.2,0,No,0
D039,Sunny,Hot,High,Strong,Summer,0,Public Court,3.9,10.0,10.0,86.0,1012.8,4.9,0,No,0
D040,Sunny,,High,Strong,Summer,0,Park,0.5,10.0,11.0,54.0,1019.7,6.2,0,No,0
D041,Sunny,Hot,High,Strong,Summer,1,Backyard,2.5,9.0,18.0,36.0,1012.2,5.1,0,No,0
D042,Overcast,Hot,High,Weak,Fall,1,Park,2.9,0.0,58.0,16.0,1014.4,6.8,0,Yes,1
D043,Rain,Hot,Normal,Weak,Fall,0,Club,24.6,0.0,73.0,52.0,1004.6,6.3,0,Yes,1
D044,Overcast,Hot,High,Weak,Fall,0,Backyard,6.9,0.0,79.0,34.0,1016.2,6.9,0,Yes,1
D045,Rain,Mild,Normal,Weak,Winter,1,Backyard,23.7,0.0,100.0,20.0,1007.2,8.2,0,Yes,1
D046,Rain,Cool,High,Strong,Winter,1,Club,8.1,1.0,84.0,34.0,1009.4,5.0,0,No,0
D047,Rain,Mild,Normal,Weak,Winter,0,Park,30.6,0.0,95.0,25.0,1003.9,8.1,0,Yes,1
D048,Sunny,Cool,Normal,Weak,Spring,1,Club,0.4,9.0,20.0,15.0,1014.6,8.1,0,Yes,1
D049,Sunny,Cool,High,Strong,Spring,1,Resort,0.4,7.0,20.0,5.0,1025.3,6.1,0,No,0
D050,Rain,Cool,Normal,Weak,Spring,0,Backyard,38.4,0.0,79.0,49.0,991.7,6.9,0,No,0
D051,Rain,Mild,Normal,Weak,Summer,0,Backyard,17.4,3.0,100.0,44.0,1000.8,7.1,0,Yes,1
D052,Sunny,Hot,High,Weak,Summer,0,Public Court,0.2,9.0,10.0,37.0,1021.2,6.1,0,No,0
D053,Sunny,Hot,Normal,,Summer,0,Park,0.7,10.0,17.0,6.0,1018.7,5.0,0,Yes,1
D054,Overcast,Cool,Normal,Weak,Fall,1,Park,2.5,1.0,92.0,57.0,1013.3,8.0,0,Yes,1
D055,Rain,Hot,Normal,Strong,Fall,0,Club,47.4,1.0,94.0,5.0,1004.1,5.0,0,No,0
D056,Rain,Mild,Normal,Weak,Fall,0,Park,14.7,3.0,80.0,38.0,1011.2,8.3,0,Yes,1
D057,Overcast,Cool,Normal,Weak,Winter,1,Park,1.5,1.0,86.0,48.0,1012.4,,0,Yes,1
D058,Overcast,Mild,Normal,Strong,Winter,0,,3.2,1.0,89.0,31.0,1002.4,9.0,0,Yes,1
D059,Rain,Cool,Normal,Weak,Winter,1,Public Court,25.7,0.0,72.0,36.0,1001.5,7.2,0,No,0
D060,Sunny,Mild,Normal,,Spring,0,Resort,0.9,8.0,30.0,51.0,1012.0,7.9,0,Yes,1
D061,Sunny,Mild,High,Weak,Spring,0,Resort,1.0,7.0,33.0,65.0,1019.9,7.9,0,No,0
D062,Sunny,Hot,Normal,Strong,Spring,1,Backyard,2.1,7.0,31.0,62.0,1013.5,6.5,0,Yes,1
D063,Sunny,Hot,Normal,Weak,Summer,0,Resort,1.5,9.0,21.0,,1018.1,7.1,0,Yes,1
D064,Overcast,Mild,Normal,Weak,Summer,0,Backyard,,6.0,95.0,59.0,1013.4,10.0,1,Yes,1
D065,Rain,Mild,High,Weak,Summer,0,Backyard,30.9,2.0,75.0,22.0,1009.9,6.1,0,Yes,1
D066,Rain,Mild,Normal,Strong,Fall,0,,10.9,0.0,85.0,14.0,1005.2,7.2,0,No,0
D067,Rain,Mild,High,Strong,Fall,0,Club,30.3,1.0,84.0,60.0,1003.0,6.1,0,No,0
D068,Sunny,Mild,Normal,Weak,Fall,0,Park,1.6,,25.0,20.0,1022.6,9.1,0,Yes,1
D069,Rain,Mild,Normal,Weak,Winter,0,Public Court,19.4,1.0,80.0,29.0,999.9,7.8,0,Yes,1
D070,Sunny,Mild,High,Strong,Winter,0,Public Court,1.4,4.0,25.0,17.0,1020.8,7.1,0,No,0
D071,Sunny,Hot,Normal,Strong,Winter,0,Park,2.1,4.0,3.0,80.0,1015.1,,0,Yes,1
D072,Sunny,Cool,Normal,Weak,Spring,0,Park,0.5,6.0,19.0,11.0,1018.4,,0,Yes,1
D073,Sunny,Mild,High,Strong,Spring,0,Resort,0.6,6.0,23.0,34.0,1015.6,7.0,0,Yes,1
D074,Sunny,Hot,High,Weak,Spring,1,Resort,1.3,7.0,24.0,66.0,1012.7,6.1,0,No,0
D075,Overcast,Mild,Normal,Weak,Summer,0,Park,2.0,7.0,67.0,7.0,1015.0,8.7,1,Yes,1
D076,Sunny,Hot,Normal,Strong,Summer,1,Backyard,1.6,11.0,30.0,,1023.6,,0,Yes,1
D077,Rain,Cool,Normal,Weak,Summer,0,Public Court,53.5,4.0,100.0,71.0,1014.0,7.1,0,Yes,1
D078,Rain,Mild,Normal,Strong,Fall,0,,12.2,1.0,73.0,46.0,994.6,6.7,0,No,0
D079,Overcast,Hot,High,Strong,Fall,0,Backyard,4.8,3.0,74.0,28.0,1018.1,6.0,0,Yes,1
D080,Rain,Cool,High,Weak,Fall,0,Public Court,35.1,3.0,90.0,58.0,1011.9,5.7,0,No,0
D081,Overcast,Hot,Normal,Strong,Winter,0,Resort,1.0,1.0,60.0,46.0,1009.9,7.1,0,Yes,1
D082,Sunny,Cool,Normal,Strong,Winter,0,Park,1.7,5.0,10.0,46.0,1026.0,7.0,0,Yes,1
D083,Overcast,Hot,High,Strong,Winter,0,Club,5.8,0.0,100.0,,1009.9,5.9,0,Yes,1
D084,Sunny,Mild,Normal,Weak,Spring,1,Park,1.3,7.0,12.0,71.0,1025.8,9.2,0,Yes,1
D085,Rain,Mild,Normal,Strong,Spring,0,Backyard,12.4,1.0,80.0,37.0,1009.5,6.9,0,No,0
D086,Rain,Cool,High,Weak,Spring,0,Park,20.6,0.0,97.0,51.0,1001.5,5.5,0,No,0
D087,Overcast,Mild,Normal,Strong,Summer,1,,1.2,6.0,84.0,39.0,1014.4,8.1,0,Yes,1
D088,Overcast,Mild,High,Strong,Summer,0,Club,1.4,5.0,79.0,45.0,1008.3,7.7,0,Yes,1
D089,Rain,Cool,High,Weak,Summer,1,Backyard,15.3,2.0,71.0,31.0,1003.8,5.9,0,No,0
D090,Sunny,Hot,Normal,Weak,Fall,0,Backyard,0.3,2.0,9.0,43.0,1023.6,5.9,0,Yes,1
D091,Overcast,Mild,Normal,Strong,Fall,0,Public Court,0.7,1.0,65.0,16.0,1009.7,8.8,0,No,0
D092,Rain,Hot,High,Strong,Fall,0,Backyard,19.6,0.0,93.0,55.0,1003.3,3.9,0,No,0
D093,Rain,Cool,High,Weak,Winter,1,Resort,3.1,0.0,85.0,45.0,1005.2,5.8,0,No,0
D094,Sunny,Hot,Normal,Strong,Winter,1,Public Court,0.2,6.0,0.0,69.0,1013.0,6.0,0,Yes,1
D095,Sunny,Mild,High,Weak,Winter,0,Park,0.9,3.0,25.0,30.0,1017.0,7.8,0,No,0
D096,Sunny,Mild,Normal,Weak,Spring,0,Club,,6.0,21.0,69.0,1023.6,9.0,0,Yes,1
D097,Rain,Mild,Normal,,Spring,0,Backyard,26.7,2.0,66.0,34.0,1009.7,8.2,0,Yes,1
D098,Rain,Cool,Normal,Strong,Spring,0,Club,16.8,0.0,50.0,13.0,1002.6,5.1,0,No,0
D099,Rain,Cool,Normal,Weak,Summer,1,Club,32.6,0.0,78.0,68.0,1003.3,7.0,0,Yes,1
D100,Sunny,Cool,Normal,Weak,Summer,0,Club,0.2,10.0,0.0,33.0,1031.4,7.9,0,Yes,1
D101,Sunny,Cool,High,Weak,Summer,0,Park,1.6,10.0,0.0,66.0,1012.1,7.0,0,No,0
D102,Overcast,Mild,,Weak,Fall,0,Resort,3.3,1.0,64.0,27.0,1014.0,7.9,0,Yes,1
D103,Rain,Hot,Normal,Weak,Fall,0,Backyard,12.7,0.0,92.0,61.0,1002.3,6.0,0,Yes,1
D104,Rain,Cool,Normal,Weak,Fall,0,Resort,10.2,1.0,94.0,48.0,1008.0,6.7,0,Yes,1
D105,Sunny,Mild,Normal,Weak,Winter,0,Backyard,0.4,2.0,,34.0,1014.1,9.1,0,Yes,1
D106,Sunny,Mild,Normal,Weak,Winter,1,Park,0.0,2.0,18.0,46.0,1024.8,9.0,0,Yes,1
D107,Overcast,Cool,High,Weak,Winter,0,Club,5.0,0.0,67.0,39.0,1008.0,8.3,0,Yes,1
D108,Rain,Hot,Normal,Weak,Spring,0,,8.5,1.0,89.0,56.0,1013.2,6.2,0,Yes,1
D109,Sunny,Cool,Normal,Strong,Spring,0,Resort,0.3,6.0,0.0,31.0,1015.7,6.1,0,No,0
D110,Sunny,Mild,Normal,Strong,Spring,0,Club,2.6,8.0,7.0,20.0,1029.8,8.0,0,Yes,1
D111,Overcast,Hot,Normal,Weak,Summer,0,Club,3.3,,100.0,5.0,1020.4,7.9,0,Yes,1
D112,Sunny,Cool,Normal,Strong,Summer,1,Park,2.7,8.0,11.0,44.0,1013.3,7.1,0,Yes,1
D113,Sunny,Cool,High,Strong,Summer,0,Park,0.5,10.0,1.0,31.0,1024.3,6.0,0,No,0
D114,Overcast,Hot,,Strong,Fall,1,Public Court,1.4,3.0,84.0,19.0,1015.7,7.2,0,Yes,1
D115,Overcast,Mild,High,Weak,Fall,0,Public Court,2.9,2.0,90.0,27.0,1015.8,8.1,0,Yes,1
D116,Rain,Cool,High,Weak,Fall,0,Resort,15.1,1.0,96.0,43.0,1009.1,6.1,0,No,0
D117,Sunny,Mild,High,Weak,Winter,0,Club,1.7,1.0,25.0,31.0,1013.8,8.1,0,No,0
D118,Overcast,Cool,Normal,Strong,Winter,0,Park,6.3,3.0,87.0,20.0,1005.4,7.9,0,Yes,1
D119,Rain,Mild,High,Weak,Winter,1,Backyard,16.1,0.0,100.0,31.0,1008.2,6.8,0,Yes,1
D120,Rain,Hot,High,Weak,Spring,0,Club,15.2,0.0,93.0,39.0,,4.8,0,No,0
D121,Rain,Hot,Normal,Weak,Spring,1,Backyard,4.3,2.0,100.0,53.0,1007.8,6.2,0,Yes,1
D122,Sunny,Cool,High,Strong,Spring,1,Backyard,3.5,8.0,21.0,52.0,1021.4,5.9,0,No,0
D123,Rain,Cool,Normal,Strong,Summer,0,Club,7.2,4.0,87.0,60.0,999.9,5.9,0,No,0
D124,Sunny,Mild,Normal,Weak,Summer,0,Backyard,0.5,9.0,9.0,24.0,1008.5,9.1,0,Yes,1
D125,Sunny,,Normal,Weak,Summer,0,Backyard,2.7,10.0,8.0,7.0,1019.2,9.0,0,Yes,1
D126,Sunny,Cool,Normal,Weak,Fall,0,Club,1.0,5.0,0.0,18.0,1016.6,7.9,0,Yes,1
D127,Rain,Cool,Normal,Weak,Fall,0,Club,18.8,0.0,100.0,24.0,1007.6,6.9,0,No,0
D128,Rain,Hot,High,Strong,Fall,1,Park,19.8,3.0,99.0,,1009.0,3.7,0,No,0
D129,Rain,Mild,High,Weak,Winter,1,Backyard,23.4,1.0,76.0,83.0,1012.7,6.9,0,Yes,1
D130,Overcast,Cool,High,Weak,Winter,0,Public Court,4.7,2.0,99.0,8.0,1015.0,8.2,0,Yes,1
D131,Overcast,,Normal,Weak,Winter,1,Backyard,2.4,2.0,70.0,73.0,1015.2,7.9,0,Yes,1
D132,Rain,Mild,High,Strong,Spring,0,Club,5.9,0.0,100.0,47.0,1006.7,5.7,0,No,0
D133,Rain,Hot,High,Strong,Spring,0,Club,2.3,1.0,82.0,58.0,997.1,3.8,0,No,0
D134,Overcast,Mild,Normal,Strong,Spring,0,Park,1.5,4.0,80.0,48.0,1008.2,9.1,0,Yes,1
D135,Sunny,Mild,High,Strong,Summer,0,Public Court,0.5,7.0,17.0,48.0,1015.6,7.1,0,No,0
D136,Overcast,Cool,Normal,Weak,Summer,0,Park,2.7,4.0,71.0,42.0,1012.3,9.0,0,Yes,1
D137,Overcast,Hot,High,Strong,Summer,0,Park,11.0,6.0,63.0,36.0,,5.9,0,Yes,1
D138,Rain,Mild,High,Weak,Fall,0,Park,19.2,1.0,82.0,5.0,1011.1,6.8,0,Yes,1
D139,Overcast,Mild,Normal,Strong,Fall,1,Park,3.9,3.0,58.0,27.0,1010.3,9.1,0,Yes,1
D140,Rain,Hot,High,Weak,Fall,0,Park,9.6,2.0,100.0,37.0,1001.4,5.1,0,No,0
D141,Sunny,Hot,High,Strong,Winter,0,Club,0.3,3.0,11.0,53.0,1015.1,5.2,0,No,0
D142,Overcast,Hot,High,Strong,Winter,0,Resort,0.2,2.0,79.0,35.0,1018.3,5.8,0,Yes,1
D143,Overcast,Mild,Normal,Strong,Winter,0,Club,9.0,2.0,94.0,26.0,1021.1,9.2,0,Yes,1
D144,Rain,Hot,High,Weak,Spring,0,Club,28.2,2.0,91.0,62.0,1003.6,5.0,0,No,0
D145,Sunny,Hot,Normal,Strong,Spring,0,Club,0.7,8.0,12.0,60.0,1017.5,6.0,0,Yes,1
D146,Sunny,Hot,High,Strong,Spring,1,Public Court,1.1,8.0,23.0,23.0,1016.6,5.1,0,No,0
D147,Rain,Hot,Normal,Weak,Summer,0,Park,16.3,2.0,95.0,24.0,1011.4,5.9,0,Yes,1
D148,Overcast,Mild,High,Strong,Summer,0,Club,6.7,6.0,,31.0,1012.2,7.7,0,Yes,1
D149,Rain,Mild,Normal,Weak,Summer,0,Club,13.7,2.0,94.0,16.0,1008.0,8.1,0,Yes,1
D150,Rain,Mild,Normal,Strong,Fall,0,Public Court,23.2,0.0,86.0,33.0,1012.6,7.1,0,No,0
D151,Sunny,Cool,High,Strong,Fall,0,Backyard,3.4,4.0,12.0,26.0,,5.9,0,No,0
D152,Rain,Hot,High,Weak,Fall,1,Club,45.0,0.0,83.0,29.0,1004.4,5.1,0,No,0
D153,Sunny,Mild,High,Strong,Winter,0,Park,0.1,1.0,30.0,41.0,1015.8,7.1,0,No,0
D154,Rain,Cool,High,Weak,Winter,0,Backyard,16.3,0.0,94.0,38.0,996.4,5.8,0,Yes,1
D155,Overcast,Cool,Normal,Strong,Winter,0,Backyard,,2.0,71.0,55.0,1001.4,8.0,0,Yes,1
D156,Sunny,Cool,High,Strong,Spring,0,Club,0.1,8.0,11.0,29.0,1021.7,,0,No,0
D157,Overcast,Mild,Normal,Weak,Spring,1,Club,4.8,3.0,73.0,23.0,1016.3,9.7,1,Yes,1
D158,Sunny,Cool,High,Weak,Spring,1,Club,0.1,6.0,23.0,26.0,1018.2,7.0,0,No,0
D159,Rain,Mild,Normal,Strong,Summer,1,Park,10.7,1.0,70.0,17.0,1005.7,6.9,0,No,0
D160,Sunny,Cool,Normal,Strong,Summer,0,Club,1.3,11.0,23.0,36.0,1016.8,7.1,0,Yes,1
D161,Overcast,Hot,High,Weak,Summer,0,Club,0.9,4.0,70.0,42.0,1011.3,,0,Yes,1
D162,Rain,Cool,High,Strong,Fall,1,Resort,12.9,2.0,76.0,49.0,1003.4,4.8,0,No,0
D163,Overcast,Cool,Normal,Weak,Fall,0,Backyard,1.8,,57.0,30.0,1017.2,8.9,0,Yes,1
D164,Overcast,Cool,High,Weak,Fall,0,Public Court,4.3,2.0,89.0,48.0,1009.1,7.5,0,Yes,1
D165,Overcast,Mild,High,Weak,Winter,0,Park,8.8,0.0,85.0,72.0,1009.9,9.1,0,Yes,1
D166,Overcast,Cool,Normal,Strong,Winter,0,,5.1,0.0,96.0,6.0,1008.1,7.0,0,Yes,1
D167,Overcast,Cool,Normal,Strong,Winter,0,Club,7.3,,77.0,47.0,1013.3,7.0,0,Yes,1
D168,Rain,Cool,Normal,Weak,Spring,0,Public Court,37.2,2.0,81.0,50.0,1003.0,5.8,0,No,0
D169,Overcast,Cool,High,Weak,Spring,0,Club,1.5,5.0,95.0,67.0,1016.2,8.1,0,Yes,1
D170,Sunny,Cool,High,Weak,Spring,0,Club,0.8,9.0,26.0,26.0,1021.2,6.2,0,No,0
D171,Sunny,Cool,High,Weak,Summer,0,Public Court,0.4,9.0,31.0,52.0,1019.6,7.0,0,No,0
D172,Sunny,Hot,High,Weak,Summer,0,Club,2.8,9.0,11.0,16.0,1017.2,6.1,0,No,0
D173,Overcast,Mild,High,Weak,Summer,0,Club,4.4,4.0,97.0,16.0,1013.2,8.9,0,Yes,1
D174,Sunny,Mild,Normal,Weak,Fall,1,Park,0.5,5.0,15.0,69.0,1027.8,9.0,0,Yes,1
D175,Overcast,Cool,High,Strong,Fall,1,Backyard,1.0,2.0,54.0,59.0,1011.4,6.8,0,Yes,1
D176,Sunny,Hot,Normal,Weak,Fall,1,Park,0.2,5.0,3.0,73.0,1027.4,7.1,0,Yes,1
D177,Sunny,Mild,High,Weak,Winter,0,,3.5,3.0,22.0,59.0,1019.6,8.0,0,No,0
D178,Sunny,Hot,Normal,Weak,Winter,1,Park,0.5,3.0,22.0,34.0,1023.8,6.8,0,Yes,1
D179,Rain,Cool,Normal,Weak,Winter,0,Backyard,46.8,0.0,100.0,51.0,1014.3,6.9,0,Yes,1
D180,Rain,Cool,Normal,Weak,Spring,0,Club,8.9,1.0,80.0,45.0,1012.6,7.0,0,Yes,1
D181,Overcast,Mild,Normal,Weak,Spring,1,Park,1.2,2.0,91.0,61.0,1012.8,10.0,1,Yes,1
D182,Rain,Mild,Normal,Strong,Spring,0,Park,18.3,2.0,91.0,24.0,1012.0,7.2,0,No,0
D183,Rain,Hot,High,Strong,Summer,1,Backyard,4.5,2.0,87.0,28.0,,4.0,0,No,0
D184,Rain,Hot,High,Weak,Summer,1,Backyard,40.0,0.0,83.0,58.0,1001.0,4.8,0,No,0
D185,Overcast,Hot,Normal,Weak,Summer,1,Backyard,0.2,4.0,88.0,46.0,1007.7,8.0,0,Yes,1
D186,Overcast,Cool,High,Weak,Fall,1,Park,3.3,1.0,87.0,54.0,1011.8,8.3,0,Yes,1
D187,Sunny,Hot,High,Weak,Fall,1,Resort,2.0,6.0,0.0,63.0,1029.1,5.8,0,No,0
D188,Overcast,Hot,High,,Fall,0,Backyard,0.7,2.0,72.0,85.0,1009.0,5.9,0,Yes,1
D189,Rain,Cool,Normal,Weak,Winter,1,Backyard,9.1,1.0,92.0,23.0,997.2,7.1,0,Yes,1
D190,Rain,Hot,Normal,Weak,Winter,0,Park,20.6,3.0,89.0,24.0,999.5,6.0,0,Yes,1
D191,Sunny,Hot,High,Weak,Winter,1,Club,1.4,5.0,,80.0,1011.0,5.9,0,No,0
D192,Rain,Hot,,Weak,Spring,0,Public Court,5.7,1.0,65.0,54.0,1003.1,5.0,0,No,0
D193,Overcast,Mild,High,Strong,Spring,1,Public Court,2.2,2.0,89.0,22.0,1019.5,8.1,0,Yes,1
D194,Sunny,Cool,Normal,Weak,Spring,0,Public Court,2.1,4.0,0.0,43.0,,8.0,0,Yes,1
D195,Sunny,Hot,High,Weak,Summer,0,Park,5.2,9.0,13.0,56.0,1007.8,,0,No,0
D196,Rain,Mild,High,Weak,Summer,0,Park,23.3,1.0,65.0,27.0,999.6,7.0,0,Yes,1
D197,Overcast,Hot,High,Strong,Summer,0,Club,,3.0,58.0,27.0,1021.8,6.1,0,Yes,1
D198,Sunny,Mild,Normal,Strong,Fall,0,,1.6,5.0,21.0,84.0,1015.0,8.0,0,Yes,1
D199,Rain,Mild,High,Weak,Fall,1,Club,3.6,3.0,86.0,22.0,1007.3,,0,Yes,1
D200,Rain,,High,Weak,Fall,1,Park,10.1,1.0,81.0,57.0,1006.1,6.2,0,No,0
D201,Sunny,Hot,Normal,Strong,Spring,1,Club,0.7,5.0,18.0,60.0,1023.7,4.3,0,No,0
D202,Sunny,Cool,High,Weak,Spring,0,Park,0.3,7.0,0.0,8.0,1014.9,3.9,0,Yes,1
D203,Rain,Mild,High,Strong,Spring,0,Park,8.7,0.0,82.0,50.0,1018.1,1.8,0,No,0
D204,Overcast,Mild,High,Weak,Winter,0,Club,1.4,1.0,71.0,29.0,1021.6,,0,Yes,1
D205,Rain,Mild,Normal,Strong,Fall,1,Club,28.9,0.0,100.0,61.0,1005.4,4.1,0,No,0
D206,Rain,Hot,Normal,Weak,Summer,1,Resort,4.6,2.0,100.0,46.0,996.0,5.8,0,No,0
D207,Rain,Mild,Normal,Strong,Fall,0,Club,10.5,2.0,96.0,55.0,1009.9,3.8,0,No,0
D208,Overcast,Hot,Normal,Strong,Fall,0,Club,1.2,3.0,86.0,31.0,1010.7,5.7,0,Yes,1
D209,Overcast,Mild,Normal,Weak,Winter,0,Park,5.6,3.0,62.0,38.0,1017.3,8.9,1,Yes,1
D210,Sunny,Cool,Normal,Strong,Winter,0,Park,1.0,3.0,0.0,54.0,1018.4,4.0,0,Yes,1
D211,Sunny,Cool,Normal,Strong,Winter,0,Park,,1.0,8.0,13.0,1014.1,4.9,0,Yes,1
D212,Overcast,Cool,Normal,Strong,Winter,1,Club,1.6,3.0,78.0,30.0,1014.6,7.2,0,Yes,1
D213,Rain,Cool,Normal,Weak,Winter,0,Park,10.3,0.0,100.0,34.0,991.8,6.2,0,Yes,1
D214,Sunny,Mild,High,Weak,Spring,1,Backyard,0.6,6.0,13.0,47.0,1027.1,5.3,0,Yes,1
D215,Sunny,Mild,Normal,Strong,Summer,0,Club,4.9,10.0,14.0,9.0,1012.5,4.0,0,Yes,1
D216,Rain,Hot,High,Strong,Summer,0,Park,12.7,2.0,93.0,39.0,999.3,2.2,0,No,0
D217,Rain,,High,Weak,Winter,0,Park,,0.0,100.0,65.0,1000.7,4.0,0,No,0
D218,Sunny,Hot,Normal,Weak,Summer,0,Resort,0.3,11.0,16.0,45.0,1010.3,7.0,0,No,0
D219,Rain,Hot,Normal,Weak,Fall,0,Public Court,23.5,2.0,88.0,33.0,1000.4,4.9,0,No,0
D220,Rain,Hot,Normal,Strong,Spring,0,Backyard,32.8,2.0,70.0,43.0,,3.7,0,No,0
D221,Overcast,,Normal,Strong,Summer,0,Public Court,0.4,,89.0,44.0,1016.4,7.1,0,Yes,1
D222,Overcast,Cool,High,Weak,Winter,0,Park,6.8,3.0,63.0,54.0,1017.8,6.2,0,Yes,1
D223,Rain,Cool,High,Strong,Winter,1,Park,22.7,0.0,91.0,15.0,1000.6,1.8,0,No,0
D224,Overcast,Mild,High,Strong,Winter,0,Park,7.7,2.0,71.0,88.0,1014.9,4.0,0,Yes,1
D225,Sunny,Hot,High,Weak,Spring,1,Public Court,4.2,7.0,13.0,68.0,1015.4,5.1,0,No,0
D226,Overcast,Mild,High,Weak,Winter,0,Park,1.8,2.0,,43.0,1013.6,5.9,0,Yes,1
D227,Sunny,Cool,Normal,Weak,Winter,0,Public Court,1.4,4.0,15.0,55.0,1023.2,6.2,0,Yes,1
D228,Rain,Cool,Normal,Strong,Fall,0,Park,30.3,0.0,96.0,109.0,1008.1,4.0,0,No,0
D229,Sunny,Mild,Normal,Weak,Summer,1,Public Court,3.3,11.0,1.0,12.0,1018.6,5.9,0,Yes,1
D230,Overcast,Cool,High,Strong,Winter,1,Backyard,1.4,2.0,55.0,31.0,1017.5,5.2,0,No,0
